country,province,description,points,production_cost,price,taster_name,winery
Chile,Maipo Valley,"Haven't seen this unusual combination of grapes in quite some time, and you know what, it's much better now than when we last saw it in 2001. This vintage has a nice, almost magnetic nose, while the palate is firm and well structured, with cassis, black cherry, coffee and licorice flavors. It's a bit boring on the finish, but the mouthfeel and length are just fine. Fruity, rich and balanced. 325 cases made.",88,11.4,50,Michael Schachner,TerraMater
US,California,"Sweetly rich in cherry, red currant and chocolate flavors, with a peppery edge, this Sangiovese is soft in structure. The bright acidity can cut through tomato sauce with cheese.",85,6.8,34,,Falcor
South Africa,Coastal Region,"A good value, this is an easy-pleasing Syrah with vibrant notes of red plum, cherry and blueberry. Fine, dusty tannins reminiscent of cocoa powder and dried crushed berries stay after swallow alongside a hint of sweet smoke flavor.",89,2.85,20,Lauren Buzzeo,Goats do Roam Wine Co.
Italy,Northeastern Italy,"A gorgeous expression of Friulano, this wine (in a screwcap bottle) makes an elegant addition to chicken, pasta or seafood dinners. Layers of peach, almond and pineapple are wrapped tightly together.",89,5,25,,Livio Felluga
Italy,Piedmont,"This is a gorgeous Italian white from northern Italy that boasts fragrant tones of spring flower and chopped herb backed by peach, honey and white almond. It's crisp, intense and would be perfect with basil Thai curry.",89,1.99,13,,Pico Maccario
US,California,"This is another fine Pinot from Cambria, showing the winery's great price-quality ratio. Words like opulent and elegant come to mind to describe intense flavors of black cherries, licorice, cola, herb tea and Indian spices. It's bone dry, and also quite tannic, but you can enjoy it now with big, rich lamb and beef dishes, or a wild mushroom risotto. Otherwise, it will continue to improve for at least eight years.",92,8.84,34,,Cambria
US,California,"Soft, light in body and easy to drink, this Sangiovese, from the Napa estate vineyard, is delicious in raspberry, red currant, licorice, bacon and spice flavors. It's somewhat ephemeral, an instantly pleasant wine to drink especially with cured meats, olives, hard cheeses.",87,8.52,28,,Benessere
US,California,"Muted at first, this wine opens up nicely with time. Sweet, ripe and easy on the finish, its core is full of black pepper and clove. The grapes are sourced from several distinctive vineyards in Mendocino County. Drink it with a steak.",87,4.19,24,Virginie Boone,Claudia Springs
Italy,Veneto,"This is a “dry” vintage Prosecco with a hint of sweetness in the mouth that is surrounded by fragrant flavors of peach, kiwi and green melon. This luminous sparkler tastes firm and tonic and makes for an informal afternoon sipper.",86,4.01,18,,Sant Eurosia
Germany,Rheingau,"Dusty, saffron-spiced earthiness is juxtaposed against intense mango and tangerine fruitiness in this deeply complex wine. It's unctuously sweet, but balanced by a piercing streak of acidity that penetrates through the midpalate. Spry and silken, it finishes on a long lingering whisper of honey and peach.",97,155,775,Anna Lee C. Iijima,Robert Weil
France,Burgundy,"This beautiful, rich wine has yellow fruits and is concentrated, tightly textured and conveys a ripe character. The touches of wood are just right, adding spice to the opulent fruitiness. A mineral texture gives some tightness to the aftertaste. Drink from 2024.",96,126,630,Roger Voss,Louis Latour
Chile,Maipo Valley,"Aromas of mint, berry syrup and dense, lemony oak lay a good foundation for the heavy black fruit that comes on the palate atop a plush carpet of toasty, fresh-grained wood. The finish is round, tasty and mouthfilling, while overall the wine seems to dance due to popping acidity. This is Carmenère with a vital streak.",88,1.59,10,Michael Schachner,De Martino
Greece,Naoussa,"A fresh, tangy, vibrant wine that has ripe green plum and apple flavors alongside a layer of full, forward fruit.",88,0,,Roger Voss,Zenato
US,California,"A great and versatile food wine. Its polished flavors of lime, fig and apricot are drizzled with Oriental spices and smoky oak. One of California's  most consistent wines, and rich enough to stand in for Chardonnay.",88,1.83,17,,Murphy-Goode
Italy,Northeastern Italy,"This is the first vintage of this blend of Chardonnay, Pinot Grigio and Sauvignon Blanc, named after the 16th-century abbess Rylint Formentini. Peppery in character, with rich, complex fruit, it has citric flavors, along with a sense of structure and acidity.",87,0,,Roger Voss,Conti Formentini
Italy,Veneto,"Canah Brut Prosecco exhibits a slightly more saturated golden color and intense notes of mature peach, dried apricot with delicate mineral tones in the background. This rich sparkler is fatter and denser than most Proseccos and boasts an attractively low price tag.",85,3.11,20,,Perlage
US,Washington,"This wine is a blend of fruit from five different vineyards scattered across the valley. The aromas of barrel spice, black cherry, dried leaves, herbs and flowers still seem quite locked up. The flavors are generous and full with palate coating milk chocolate and cherry flavors with a finish that lingers.",89,3.88,38,Sean P. Sullivan,Walla Walla Vintners
US,California,"Berry crumble and licorice star in this full-bodied, hearty and smooth wine, blended with 4% Petite Sirah. Spicy oak and milk chocolate unleash further flavor and spice on the finish.",88,7.29,32,Virginie Boone,Dunbar
Austria,Wagram,"Earthy, savory notes of yeast and miso swing alongside the green pear flavors. There is spice and concentration on the midpalate and some tingling pepper spice.",88,2.4,12,Anne Krebiehl MW,Eschenhof Holzer
Germany,Mosel,"Lanolin and honeycomb notes lend a minerally feel to rich, lusciously concentrated peach and tangerine flavors in this powerful yet finely structured kabinett. A hint of spritz and shocking lemon-lime acidity lead the way to a long, elegant finish.",92,7.15,27,Anna Lee C. Iijima,Dr. Loosen
France,Champagne,"Very dry in style, this is a beautifully crisp, tight and taut Champagne. It has citrus and green apple flavors, and is steely in character while also fruity. It could do well with some more bottle age.",92,14,70,Roger Voss,H. Blin
France,Burgundy,"This wine is ripe, rich and full in the mouth, like a fruit salad of red cherries, plums and berries. Yet there's a more solid side—rounded tannins support the concentrated fruits, and touches of wood aging broaden the feel of this impressive wine. Drink from 2017.",92,11.43,72,Roger Voss,Henri de Villamont
US,California,"This El Dorado wine opens with aromas of sweet floral jasmine and is very pretty through and through. Its acidity sings perfectly through the middle of the wine, lifting the flavors of apple and dried apricot as well as the notes of lemon and lime on the finish. This should pair with a range of midweek dinners.",87,1.86,18,Virginie Boone,Lava Cap
US,Washington,"Medium bodied, this sharply defined wine brings in plenty of notes of herb, root and earth around its light berry fruit. It captures the defining flavors of Wahluke Slope Syrah in a somewhat muted style, reflecting the abbreviated growing season.",87,6.82,28,Paul Gregutt,Camaraderie
France,Provence,"Coming from a remote estate on the edge of the Lubéron mountains in the north of Provence, this wine is impressively rich. It gains great concentration and structure from the Cabernet Sauvignon and Syrah in the blend. Full of ripe red fruits, it is dense at the end.",93,1.84,20,Roger Voss,Château Vignelaure
France,Provence,"Named after the Negrel family, owners of the estate, this is the top cuvée in their range. Aging in wood gives it a surprising series of flavors ranging from caramel to spice to buttery toast. While some of the fruit is lost along the way, the wine has a rounded, very complete character that is rich and made for food.",93,12.37,40,Roger Voss,Mas de Cadenet
US,California,"This is a lovely wine, classically rendered in cedar, herb and red cherry. The dried herb and forest floor elements persist on the palate, with bursts of acidity giving it life and lingering persistence, the tannins well-integrated.",93,20.92,70,Virginie Boone,W.H. Smith
France,Bordeaux,"This is a juicy wine with its red fruits and attractive acidity. The wood aging still shows, perhaps too strongly, but that fruit is already a major factor in the success of the wine. Drink from 2019.",89,2.37,14,Roger Voss,Château de l'Aubrade
France,Bordeaux,"A ripe perfumed wine with fine tannins as well as dense fruit. Blackberry flavors are up there along with the acidity and crisp aftertaste. It's a wine with a good future, ready to drink from 2018.",89,1.67,15,Roger Voss,Château Maison Noble Saint Martin
US,California,"This refreshing, well-structured wine offers vivid but light fruit flavors, a crisp balance and mouthwatering texture. It has lots of fresh citrus flavors that will pair well with salty meats and all kinds of seafood.",89,2.73,13,Jim Gordon,Cupcake
US,California,"Sweet honeysuckle, lime blossoms and honeydew show on the very flowery nose of this bottling from a newer property near the old mining town of Pozo. The sip tightens up smartly with Anjou pear and honeysuckle flavors, but it's the powerful acidity that makes for a compelling palate.",89,3.4,17,Matt Kettmann,Vintage Cowboy
Austria,Niederösterreich,"Almost luscious pear aromas and notes of peardrop make for a very fruity nose. The palate has a fruity, lemony ease, while the body is slender, dry and has some spritz. The lemon freshness is vivid, brightening everything on this easy, fruity summer wine.",89,2.6,13,Anne Krebiehl MW,Winzer Krems
US,California,"This Chardonnay wants time to warm and breathe in the glass, so don't pour it right from the fridge. After a little while it develops considerably in generosity, offering waves of tropical fruits, peaches and pears. The oak is pretty strong, even jarring. Give it a few years in the cellars to let everything knit together.",87,9,45,,B Cellars
Italy,Piedmont,"This pretty white wine from northern Italy opens with an ashy, mineral feel and segues to aromas of candied fruit, peach and citrus. It is nearing the end of its drinking window so don't bother putting this bottle aside.",87,2.99,19,,Cascina La Ghersa
Italy,Tuscany,"Aromas of underbrush, charred earth and a hint of cedar lead the nose on this blend of Cabernet Sauvignon and 10% Merlot. The extracted palate delivers mature black currant, dried blackberry, espresso and black pepper alongside dusty tannins.",90,11.55,70,Kerin O’Keefe,Castello di Querceto
France,Provence,"While the wine is really pale in color, it does have a great range of flavors, offering red fruit notes balanced by beautiful acidity and citrus streaks. It's gently textured, giving a good bite to the fruitiness at the end.",91,0,,Roger Voss,Château Sainte Marguerite
France,Provence,"Very fruity and fresh, this wine has crisp apples as well as red fruit giving it a bright, delicious feeling. The acidity goes right through the wine, giving a beautifully fresh feel that points up the fragrant raspberries. Vineyards are in the heart of the sandy soils of the Saint Tropez peninsula.",91,5.19,20,Roger Voss,Domaine de la Bastide Blanche
France,Provence,"This wine is full in the mouth with a taste between pepper and fruit. It's ripe, rounded and tangy with clementine zest as well crisp apples and red currants. It could benefit from a few months in bottle, so drink from late 2015.",91,5,25,Roger Voss,Domaine Sainte-Marie
Portugal,Alentejano,"Onion skin orange in color, this is a full and fat wine. It has attractive red-berry fruit and just the right amount of acidity to keep it fresh and crisp. Drink now.",85,2.09,22,Roger Voss,Cortes de Cima
Argentina,Mendoza Province,"Mushy citrus and papaya aromas are waxy and lack pop. Angular and lemony in feel, this varietal white offers a one-note flavor profile based on lemon. A ringing, citric finish affords for a hint of tropical fruit.",85,5,25,Michael Schachner,Mendel
Portugal,Vinho Verde,"In a medium sweet style, the wine has a light prickle and fine citrus acidity to balance the soft freshness. It is a refreshing wine, totally drinkable immediately.",85,1.71,8,Roger Voss,Messias
Argentina,Other,"Oily, gritty aromas of almond skins set up a pungent but oily tasting palate. Core fruit flavors lean towards sour grapefruit and orange, while the finish is tangy, salty and sour through the last note.",85,4.09,17,Michael Schachner,El Esteco
France,Alsace,"A soft style of Riesling, with some attractive aromatic white flower character. The fruit is soft, just off dry, freshened by acidity. Screwcap.",87,3.44,12,Roger Voss,Cave de Beblenheim
US,California,"Made entirely from Syrah grown on its property across multiple vintages, and then cave-aged six years in American oak, this is a nice dessert wine, raisiny and brimming in Christmas spice. With plenty of body and acidity, it swims effortlessly and smoothly on the palate, a bite of decadence that will work well with rich cheeses.",90,12.32,50,Virginie Boone,Deerfield Ranch
US,Washington,"Aromas of savory herbs, mineral, exotic spice and red fruit are followed by fruit flavors that are surprisingly restrained considering the warmth of the vintage. Tart acidity livens it up. It's green for the variety but still brings enjoyment.",90,11.95,39,Sean P. Sullivan,Efeste
France,Southwest France,"Chenin Blanc has found an unlikely new home in Cahors, to judge by the producers who are trying it out. It works well, giving a deliciously nutty character as well as intense citrus and minerality. Age this wine until 2015.",86,2.9,30,Roger Voss,Clos Troteligotte
France,Beaujolais,"Attractive cherry flavors give a ripe, rounded feel that's balanced by the acidity and tannins. Black cherries burst easily from the glass, delivering a full aftertaste.",86,2.4,12,Roger Voss,Georges Duboeuf
US,Washington,"Aged for 20 months in 40% new French oak, this remains a tough nut to crack. It's encased in a hard tannic shell, with little ripe fruit, and is strongly flavored with barrel notes of tobacco and vanilla. Decant it or put it through an aerator.",86,5,25,Paul Gregutt,Maryhill
France,Burgundy,"With tannins and new-wood flavors, this rich wine is also structured. A smoky character from the wood is shot through by perfumed red fruits. The aftertaste shows more of the wood flavors that need to integrate. Drink from 2018.",90,0,,Roger Voss,Domaine Collotte
France,Burgundy,"Young vines, planted in 2007, give a fresh, fruity wine with attractive citrus and zingy orange flavors. It is ripe and deliciously perfumed with a touch of minerality and saltiness. Drink from 2019.",90,18.56,117,Roger Voss,Domaine Jacques Prieur
US,California,"The most reserved of this winery's Grenache studies, this bottling shows baked red cherry, red currant, cola and slate on the nose. An iron-based minerality shows on the earthy palate, which also offers chipped slate, cranberry and tart cherry elements. It's a tad light but still intriguingly textured.",90,8.4,42,Matt Kettmann,Casa Dumetz
US,California,"A rich, tasty Pinot, packed with black cherry pie filling, cola, orange zest, star anise, cinnamon and sandalwood flavors that finish sweet and long. The texture is satisfying. Drink over the next several years.",90,10.4,44,,Pacific Ridge
Italy,Tuscany,"This vintage of Marsiliana (the top wine from the Maremma property of Prince Corsini) shows rich tones of espresso, chocolate, dark fruit, leather and spice. The wine is soft and well extracted, with a slightly tough, chewy finish.",90,0,,,Marsiliana
US,Oregon,"This light, refreshing rosé mixes fresh strawberry fruit with apple-flavored acids. It's finished bone dry, with an almost dusty mouthfeel (in a good kind of way).",87,3.6,18,Paul Gregutt,Fullerton
Argentina,Mendoza Province,"This Malbec is a collection of disparate parts that doesn't justify its price. Reduced plum and grapy berry aromas come with woodsy notes of menthol and cola. Highly herbal, saucy, savory flavors are more oaky than fruity, while this finishes with muscular tannins and savory, grapy notes.",87,48.61,175,Michael Schachner,Antonio Mas
US,California,"This full-bodied wine is in the classic mode, offering very ripe and even overripe aromas. Voluptuous berry flavors verge on sweet, and the rich texture comes without a lot of drying tannin.",87,1.96,20,Jim Gordon,Bella Grace
France,Champagne,"Neatly divided between the three major grapes of Champagne, this full, ripe wine is packed with rich apple and pear fruits. It is crisp while showing a high dosage giving a softer, smoother aftertaste. Drink this bottling now.",87,5.31,38,Roger Voss,Duménil
Portugal,Alentejano,"It is the 30% Alicante Bouschet in the blend that gives the dense color to this ripe wine. Concentrate and rich, the generous berry flavors are balanced by a more restrained acidity and smoky flavors. The wine is ready to drink.",87,1.4,15,Roger Voss,Santos & Seixo
Chile,Maipo Valley,"Good introductory Carmenère. It's a touch green, which is common for this quality level, but there's also some coconut and mild burnt aromas to wade through. Lively and clanky on the palate, with red fruit, bramble and herbal snap. Good if you're not expecting too much.",85,1.73,9,Michael Schachner,Morandé
US,California,"Sweet in jammy apricots and pineapples, with even richer notes of smoky vanilla and buttered toast. Crisp acidity fortunately provides some balance. From Venge Vineyards.",85,4.6,23,,Saddleback
Italy,Veneto,"This wine doesn't seem to have fully evolved and its aromas are  muddled in places with notes of mature fruit and natural rubber. In the mouth it has red fruit flavors and tight tannins, but it generally lacks definition.",85,8.2,41,,Montresor
US,Oregon,"This is a classic, high-acid vintage. The strength is fruit, and it's a mix of citrus and light pineapple; all stainless fermented and finished at moderate alcohol. Quite different in style from the '06, but well-made.",88,4,20,Paul Gregutt,Lachini
France,Southwest France,"Made from Fer Servadou, Duras and Syrah, this is a wine with a truly local pedigree and a modern style, with prominent new wood. There are aromas that talk of wild heather and a dry landscape and palate notes of spice, ripe berries and prunes.",88,2.49,14,Roger Voss,Domaine des Terrisses
US,Oregon,"Aromas of cherry, spice and mint lead into tart pie cherry and wild berry fruit, dusted with cocoa and spiced up with 16 months in French oak barrels. Unusual for most high-end Pinots, this is sealed with a screwcap.",88,11.51,60,Paul Gregutt,Benton-Lane
Italy,Sicily & Sardinia,"This ruby-hued blend of Nerello Mascalese and Nerello Cappuccio conveys aromas of bright berry, intense mint and a whiff of baking spice. The vibrant palate offers sour cherry, mineral and cinnamon flavors alongside fresh acidity.",88,0,,Kerin O’Keefe,Antichi Vinai 1877
US,California,"This blend from a newer Westside Paso winery offers blackberry, charred pine and sour cherry aromas. The palate is driven by pine sap, charred game and sharp herbs such as oregano and rosemary, and would be a great way to spice up a steak dinner.",88,4.38,42,Matt Kettmann,Brecon Estate
US,Oregon,"Creamy and fresh, this is made from estate-grown grapes, fermented in a mix of stainless steel and neutral barrels. The fruit flavors blend jicama, melon and pear, with a touch of sweetness. It finishes with a hint of honeysuckle.",88,2.8,14,Paul Gregutt,Stanton Vineyard
US,California,"This is a softer Sauvignon Blanc for those not sworn to the grassy side of the grape, as the Buellton-based winery does a lot of barrel-fermenting. Aromas include pressed kiwi and a sour pucker of lime, and the broiled pear flavors prove easy drinking, if not exceedingly complex.",88,12.07,42,Matt Kettmann,Dragonette
US,Oregon,"The aromas of this wine leap from the glass, with notes of orange peel, potpourri, smoked meat, spice, fresh herb, stem, ash and plum. It's expressive, but still wound up. The flavors are focused, concentrated and savory, bringing a sense of intensity and richness but also lightness. The balance is exquisite.",94,17,85,Sean P. Sullivan,Cayuse
US,California,"From a three-acre spot known to get a hearty dose of fog, this wine speaks to cool-climate character, unveiling crisp floral layers of dried sage and white pepper from the get-go. Those aspects are joined by rose, lavender and cranberry-rhubarb on the palate, finishing with subtle offerings of mushroom and forest floor.",94,15,75,Virginie Boone,Cobb
US,Washington,"This super-smooth late harvest effort is perfectly balanced among sugar/alcohol/acid components. Lively and rich, it offers concentrated flavors of limoncello, apricot and candied peaches. Drink it chilled for best effect.",90,2.87,15,Paul Gregutt,Stevens
US,California,"There's a ying-yang of rich crème brûlée, lemon curd and toasted oak amid good acidity and fresh apple and pear fruit, with inviting aromas to boot. Creamy and crisp it'll serve well aside all manner of seafood, like fresh-caught trout.",90,12.75,45,Virginie Boone,Landmark
US,California,"This is a challenging mix of substantially puckering tannins and herbaceous notes, dotted in black peppercorns. The fruit is elusive.",84,6.42,65,Virginie Boone,In Re
France,Bordeaux,"This soft, jammy and fruity wine is ready to drink, with black-currant flavors that are ripe and rounded. Only the lightest tannins gives any structure to this wine that is immediately accessible.",84,1.4,14,Roger Voss,Château les Joyeuses
US,California,"This Zinfandel-dominant blend also contains Cabernet Franc and Petite Sirah in sizable amounts, rounded out by a handful of Merlot. Relatively light bodied, it has a muted nose. The flavors lean towards overripe, more dried fruit than fresh.",84,2.7,27,Virginie Boone,Experience
Greece,Halkidiki,"The bone-dry, earthy minerality of Assyrtiko blends well with the crisp, fresh fruit flavors of Sauvignon Blanc in this white blend. Clean, simple flavors of citrus, spice and slate give the wine a quaffable, food-friendly edge.",87,2.6,13,Susan Kostrzewa,Tsantali
Italy,Veneto,"Delicate and sweet, this pretty Prosecco offers delicate floral notes and shadings of banana and exotic fruit. It is light and foamy in the mouth with full, soft texture and sensual sweetness on the close.",86,4.11,20,,Carpenè Malvolti
Argentina,Mendoza Province,"Apricot and oak aromas make for a smoky, slightly heavy bouquet. The wine keeps that weightiness as it passes from nectarine to citrus to tropical fruits. Long on the finish, with integrity. But it's also a bit citric in the center. “Pulpy” is another descriptor.",86,5.17,17,Michael Schachner,Trapiche
France,Burgundy,"Packed with red fruits and crisp acidity, this lively wine has a tight mousse, while the red-currant fruitiness adds intense acidity. The wine is bright and ready to drink.",88,2,10,Roger Voss,Bailly-Lapierre
Italy,Piedmont,"This opens with aromas of menthol, coconut, oak, overripe black cherry, leather and exotic spice. The bracing palate shows dried black cherry, clove, ground pepper and a green note of powdered sage alongside assertive grainy tannins.",87,8.82,90,Kerin O’Keefe,Battaglio
Germany,Pfalz,"Whiffs of sugar cookies and raspberries entice on this consistently pleasing bargain buy. Fruity and floral and a just shade off dry, its an easygoing wine but with a depth beyond what one might presume from its cheeky packaging. Finishes on a lingering white peach note.",87,2.43,10,Anna Lee C. Iijima,Blue Fish
US,California,"From the Barton family's estate vineyard, this is a very dark Syrah with aromas of blackberry, balsamic, lavender and thyme flowers. There's a rich blueberry flavor at the core of the palate, where cocoa shavings, tense tannins and a lilac florals combine for a multi-layered wine.",93,15.7,60,Matt Kettmann,Barton
US,California,"Extremely lively peppercorn aromas meet with black plum, blackberry, dried violets and lavender on the nose of this bottling by vineyard manager Ruben Solorzano. The palate is spicy with cracked pepper, rosemary oil and pine needles, which mix with the blackberry and elderberry fruits. Roasted lamb flavors also make an appearance against tannins that rise up in the finish.",93,6.13,55,Matt Kettmann,Hecho por Ruben
Portugal,Douro,"This producer specializes in seeking out parcels of old vines. In this case, the vines, planted at high density, have unusually crooked trunks. The wine itself, richly tannic and dense, has new wood flavors, ripe black-plum fruits and a dark firm character. It is still young and will develop into an impressively rich wine. Drink from 2019.",93,7.64,32,Roger Voss,Secret Spot Wines
US,California,"Earthy aromas of turned soil meet with dark red currant and a layer of smoke on the nose of this estate bottling by the historic vineyard. Strawberry, smoked pork and a touch of lavender show on the sip, which rides a strong acidity that arises in the midpalate and persists deep into the finish.",92,12,60,Matt Kettmann,Bien Nacido
South Africa,Robertson,"This wine has a delicate nose of citrus and spicy nuts, with robust, round flavors of apple, citrus and spice. Balanced acid and fruit means the wine has complexity, but is still refreshing. Mouthwatering and food friendly, the Chardonnay has added class.",88,3.4,17,Susan Kostrzewa,Danie de Wet
US,Washington,"Cabernet Sauvignon-dominated, the blend also includes about one third Merlot and a splash of Syrah. Tight and somewhat reductive when first opened, it slowly unwraps into a substantial effort, dense with berry, cherry and cassis concentrate. Some not-quite-integrated green tannins remain, and the buttery finish also wants more bottle age. But a good effort overall.",88,4,20,Paul Gregutt,Horan Estates
US,California,"Bell's basic Cabernet often is a good buy, and the 2005 certainly falls into that category. It shows polished Napa structure, with savory cassis and cedar flavors. Drink now through 2011.",88,10.15,40,,Bell
US,California,"There are solid Cabernet flavors of blackberries and black currants in this dry, tannic wine. It's rough and astringent in the mouth, without much charm, but a rich steak, maybe topped with a gorgonzola sauce, will make it shine.",85,6.77,34,,Markham
Italy,Northeastern Italy,"This opens with smoke, mint, coconut, red berry and graphite aromas. The palate offers dried red cherry and mineral alongside drying tannins. Enjoy it soon to capture the fruit flavors.",89,7.21,40,Kerin O’Keefe,Tiefenbrunner
Italy,Northeastern Italy,"Pretty aromas of red berry, crushed flower and a hint of rosemary lead the nose on this bright red. The fresh palate offers crushed raspberry, green tomato and cinnamon. It's fresh, sleek and balanced.",89,4,20,Kerin O’Keefe,Tramin
Spain,Catalonia,"Briny cidery aromas are fortunately not that loud or intense. This is wide and generous on the palate, with dry briny stone-fruit and apple flavors. A sense of dryness and pickle brine is amplified on a purposeful finish.",90,10.74,36,Michael Schachner,Alta Alella
US,California,"Tangy boysenberry and elderberry fruit shows on the nose of this sultry bottling, along with thyme, potpourri and licorice. The flavors are more cooked than fresh, recalling charred blackberry, dried blueberry, leather and licorice. It's a hearty wine that consumes the entire palate.",90,6.36,56,Matt Kettmann,Ascencion
US,New York,This highly aromatic Sauvignon Blanc dishes out loads of pretty white peach and yellow cherry flavors backed by a bristling streak of acidity. It's a vibrant yet satisfyingly full-bodied wine with a pristine grapefruit finish. Drink now through 2020.,90,5.37,22,Anna Lee C. Iijima,Damiani
US,Oregon,"Intense and loaded with scents and flavors of fully ripe fruit, this parades down the tree fruit and tropical fruit avenues, with peach, apricot, papaya and mango in the lead. It's a delicious bottle, with just enough acidity to keep it bright and lively.",90,4.4,22,Paul Gregutt,Grizzly Peak
Italy,Southern Italy,"An easy-drinking rosato, this has dusty aromas of dried rose petal, stone fruit and citrus. The mouthfeel is clean, lean and crisp.",86,7.01,29,,Villa Mottura
US,Washington,"This mix of 62% Pepper Bridge Vineyard Syrah and 38% Klipsun Vineyard Malbec has not entirely come together. The grapey fruit flavors and slightly stemmy tannins may ultimately complement each other, but that will require more bottle age. For the moment, give it a good decanting, or wait a couple more years before opening.",86,7,35,Paul Gregutt,Flying Trout
